Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
81,1,81-1,contract_concentration,0.200034514,81-3,81-4,81-4,23.1288033,219.129456,
81,2,81-2,vehicle_utilization,1.26699126,81-5,81-6,81-6,0.361747742,21.7630825,
81,3,81-3,vehicle_utilization,0.949723125,81-7,81-8,81-8,24.3856277,204.261139,
81,4,81-4,Leaf,,,,,-0.0436663106,14.8683157,
81,5,81-5,Leaf,,,,,-0.0445015766,19.7070713,
81,6,81-6,Leaf,,,,,-0.0121321091,2.05601072,
81,7,81-7,Leaf,,,,,-0.0437766723,13.3546228,
81,8,81-8,high_acuity_share,0.050309673,81-9,81-10,81-10,26.7022305,190.906509,
81,9,81-9,Leaf,,,,,-0.043427594,12.760685,
81,10,81-10,cost_per_road_hour,50.3312798,81-11,81-12,81-12,29.9159584,178.145828,
81,11,81-11,Leaf,,,,,0.0185369197,166.154266,
81,12,81-12,Leaf,,,,,-0.044109486,11.9915686,
82,0,82-0,high_acuity_share,0.0498093776,82-1,82-2,82-2,24.5267143,238.575928,
82,1,82-1,Leaf,,,,,-0.043086458,19.3292885,
82,2,82-2,cost_per_road_hour,49.9392853,82-3,82-4,82-4,22.4357014,219.246643,
82,3,82-3,contract_concentration,0.200034514,82-5,82-6,82-6,22.7386208,203.148285,
82,4,82-4,vehicle_utilization,1.20946527,82-7,82-8,82-8,0.270217896,16.0983582,
82,5,82-5,total_volume_pool,1.20034683,82-9,82-10,82-10,24.9188786,190.541748,
82,6,82-6,Leaf,,,,,-0.0432686619,12.6065369,
82,7,82-7,Leaf,,,,,-0.0441799238,13.6118298,
82,8,82-8,Leaf,,,,,-0.014300582,2.48652935,
82,9,82-9,Leaf,,,,,-0.0427822545,12.2111082,
82,10,82-10,road_hours_per_vehicle,9.00397682,82-11,82-12,82-12,27.468195,178.330643,
82,11,82-11,Leaf,,,,,-0.0416184701,12.1374207,
82,12,82-12,Leaf,,,,,0.0181071684,166.193222,
83,0,83-0,non_billable_noshow,0.100725584,83-1,83-2,83-2,24.1720619,238.541046,
83,1,83-1,cost_per_road_hour,49.9392853,83-3,83-4,83-4,22.2895832,219.676071,
83,2,83-2,Leaf,,,,,-0.0439393707,18.8649788,
83,3,83-3,revenue_per_kent_leg,70.0001984,83-5,83-6,83-6,23.2978821,204.30481,
83,4,83-4,revenue_per_kent_leg,103.2034,83-7,83-8,83-8,0.0676021576,15.3712606,
83,5,83-5,Leaf,,,,,-0.0441072695,12.9099951,
83,6,83-6,billed_utilization,1.04988921,83-9,83-10,83-10,24.9917774,191.394821,
83,7,83-7,Leaf,,,,,-0.0453195088,13.1767054,
83,8,83-8,Leaf,,,,,-0.0153507655,2.19455576,
83,9,83-9,Leaf,,,,,-0.045038674,11.5535345,
83,10,83-10,total_volume_pool,1.20034683,83-11,83-12,83-12,27.8258705,179.841278,
83,11,83-11,Leaf,,,,,-0.0427565649,12.170599,
83,12,83-12,Leaf,,,,,0.0172533914,167.670685,
84,0,84-0,non_billable_noshow,0.0997218192,84-1,84-2,84-2,24.3007679,232.690781,
84,1,84-1,non_billable_noshow,0.0536742359,84-3,84-4,84-4,21.5405178,212.264465,
84,2,84-2,revenue_per_kent_leg,100.835007,84-5,84-6,84-6,0.356952667,20.4263229,
84,3,84-3,non_billable_noshow,0.0494999997,84-7,84-8,84-8,22.5992584,168.874908,
84,4,84-4,cost_per_road_hour,49.9392853,84-9,84-10,84-10,4.72991371,43.3895531,
84,5,84-5,Leaf,,,,,-0.0441254079,18.4262447,
84,6,84-6,Leaf,,,,,-0.0117137386,2.00007701,
84,7,84-7,high_acuity_share,0.050309673,84-11,84-12,84-12,6.60118389,43.5867462,
84,8,84-8,cost_per_road_hour,49.9392853,84-13,84-14,84-14,7.93250847,125.288162,
84,9,84-9,contract_concentration,0.197935328,84-15,84-16,84-16,3.02183914,41.3637848,
84,10,84-10,Leaf,,,,,-0.0220344104,2.02576733,
84,11,84-11,Leaf,,,,,-0.0304750632,2.70886993,
84,12,84-12,revenue_per_kent_leg,70.6035995,84-17,84-18,84-18,4.21590996,40.8778763,
84,13,84-13,cost_per_road_hour,42.2106209,84-19,84-20,84-20,10.2442513,115.258064,
84,14,84-14,Leaf,,,,,-0.0449117459,10.0300989,
84,15,84-15,total_volume_pool,1.23239112,84-21,84-22,84-22,2.10491943,39.3496284,
84,16,84-16,Leaf,,,,,-0.0108416872,2.0141573,
84,17,84-17,Leaf,,,,,-0.0209973138,2.09777737,
84,18,84-18,Leaf,,,,,0.0278368611,38.780098,
84,19,84-19,Leaf,,,,,-0.0124230189,108.548523,
84,20,84-20,Leaf,,,,,0.0347530469,6.70953608,
84,21,84-21,Leaf,,,,,-0.00155907893,2.35649323,
84,22,84-22,Leaf,,,,,0.0350761302,36.9931374,
85,0,85-0,contract_concentration,0.200034514,85-1,85-2,85-2,22.0129757,226.663849,
85,1,85-1,vehicle_utilization,0.949723125,85-3,85-4,85-4,20.7757988,208.857193,
85,2,85-2,Leaf,,,,,-0.0423175022,17.8066463,
85,3,85-3,Leaf,,,,,-0.043244008,13.4890318,
85,4,85-4,revenue_per_kent_leg,70.0001984,85-5,85-6,85-6,22.394701,195.368164,
85,5,85-5,Leaf,,,,,-0.043475125,12.4041691,
85,6,85-6,billed_utilization,1.04988921,85-7,85-8,85-8,24.588604,182.963989,
85,7,85-7,Leaf,,,,,-0.0443145595,11.3964043,
85,8,85-8,road_hours_per_vehicle,9.00397682,85-9,85-10,85-10,26.6380939,171.567596,
85,9,85-9,Leaf,,,,,-0.0413648449,11.9129267,
85,10,85-10,Leaf,,,,,0.0180028528,159.654663,
86,0,86-0,high_acuity_share,0.0498093776,86-1,86-2,86-2,21.9773464,228.11586,
86,1,86-1,Leaf,,,,,-0.0429886431,17.7722836,
86,2,86-2,revenue_per_kent_leg,70.0001984,86-3,86-4,86-4,19.9076138,210.343582,
86,3,86-3,Leaf,,,,,-0.0431191437,13.3981352,
86,4,86-4,contract_concentration,0.200034514,86-5,86-6,86-6,21.6821537,196.94545,
86,5,86-5,non_billable_noshow,0.0997218192,86-7,86-8,86-8,23.8090343,184.149643,
86,6,86-6,Leaf,,,,,-0.0427388437,12.7957973,
86,7,86-7,total_volume_pool,1.20034683,86-9,86-10,86-10,26.882143,170.591064,
86,8,86-8,non_billable_noshow,0.100725584,86-11,86-12,86-12,0.608075142,13.5585823,
86,9,86-9,Leaf,,,,,-0.0420946106,11.9366541,
86,10,86-10,Leaf,,,,,0.0174987819,158.654419,
86,11,86-11,Leaf,,,,,-0.0122102369,2.65084887,
86,12,86-12,Leaf,,,,,-0.0444440208,10.9077339,
87,0,87-0,vehicle_utilization,0.949723125,87-1,87-2,87-2,21.835165,220.717651,
87,1,87-1,Leaf,,,,,-0.0426768288,17.5959835,
87,2,87-2,contract_concentration,0.200034514,87-3,87-4,87-4,19.5401039,203.121674,
87,3,87-3,high_acuity_share,0.0498093776,87-5,87-6,87-6,20.7595196,189.696182,
87,4,87-4,Leaf,,,,,-0.0421753787,13.4254885,
87,5,87-5,Leaf,,,,,-0.0432995297,11.6667624,
87,6,87-6,billed_utilization,1.04988921,87-7,87-8,87-8,22.0888157,178.029419,
87,7,87-7,Leaf,,,,,-0.0437817089,10.5548439,
87,8,87-8,total_volume_pool,1.20034683,87-9,87-10,87-10,24.8671131,167.474579,
87,9,87-9,Leaf,,,,,-0.0412779674,11.3882895,
87,10,87-10,Leaf,,,,,0.0172194056,156.086288,
88,0,88-0,non_billable_noshow,0.0997218192,88-1,88-2,88-2,21.1229362,218.560577,
88,1,88-1,billed_utilization,1.04988921,88-3,88-4,88-4,19.7524891,199.603516,
88,2,88-2,Leaf,,,,,-0.0411629714,18.9570656,
88,3,88-3,Leaf,,,,,-0.0436818935,13.0039339,
88,4,88-4,cost_per_road_hour,49.9392853,88-5,88-6,88-6,20.8220158,186.599579,
88,5,88-5,revenue_per_kent_leg,70.0001984,88-7,88-8,88-8,22.8464241,173.572922,
88,6,88-6,revenue_per_kent_leg,97.9469604,88-9,88-10,88-10,0.574961662,13.0266562,
88,7,88-7,Leaf,,,,,-0.0429928489,11.3796787,
88,8,88-8,high_acuity_share,0.050309673,88-11,88-12,88-12,24.862299,162.193237,
88,9,88-9,Leaf,,,,,-0.0451098196,11.0216732,
88,10,88-10,Leaf,,,,,-0.0101004178,2.00498366,
88,11,88-11,Leaf,,,,,-0.0418791659,11.096879,
88,12,88-12,Leaf,,,,,0.0173212383,151.096359,
89,0,89-0,cost_per_road_hour,49.9392853,89-1,89-2,89-2,20.5789585,218.203964,
89,1,89-1,cost_per_road_hour,38.8037987,89-3,89-4,89-4,18.3657532,199.713333,
89,2,89-2,revenue_per_kent_leg,105.839058,89-5,89-6,89-6,0.0100879669,18.490633,
89,3,89-3,cost_per_road_hour,38.75,89-7,89-8,89-8,20.5078602,153.318985,
89,4,89-4,contract_concentration,0.200034514,89-9,89-10,89-10,5.37309647,46.3943481,
89,5,89-5,Leaf,,,,,-0.0425932482,16.4133129,
89,6,89-6,Leaf,,,,,-0.0144028766,2.07732105,
89,7,89-7,non_billable_noshow,0.0997218192,89-11,89-12,89-12,5.6759491,37.8474693,
89,8,89-8,non_billable_noshow,0.0997218192,89-13,89-14,89-14,6.02996445,115.471512,
89,9,89-9,billed_utilization,1.05165946,89-15,89-16,89-16,3.59717751,44.3138504,
89,10,89-10,Leaf,,,,,-0.0274374597,2.08049917,
89,11,89-11,total_volume_pool,1.21465099,89-17,89-18,89-18,3.02635193,35.5114326,
89,12,89-12,Leaf,,,,,-0.0292350352,2.33603764,
89,13,89-13,non_billable_noshow,0.0690612793,89-19,89-20,89-20,8.1905508,105.245682,
89,14,89-14,Leaf,,,,,-0.0408036262,10.2258329,
89,15,89-15,Leaf,,,,,-0.0166329332,2.01458573,
89,16,89-16,vehicle_utilization,0.969109654,89-21,89-22,89-22,2.96193314,42.299263,
89,17,89-17,Leaf,,,,,-0.0148328124,2.03506279,
89,18,89-18,Leaf,,,,,0.0277428366,33.476368,
89,19,89-19,Leaf,,,,,-0.0124231083,100.198944,
89,20,89-20,Leaf,,,,,0.0348332189,5.04673624,
89,21,89-21,Leaf,,,,,-0.00774724828,2.57200551,
89,22,89-22,Leaf,,,,,0.0322730243,39.7272568,
90,0,90-0,road_hours_per_vehicle,9.00397682,90-1,90-2,90-2,19.4726086,216.118118,
90,1,90-1,Leaf,,,,,-0.0412777849,17.257473,
90,2,90-2,total_volume_pool,1.20034683,90-3,90-4,90-4,18.4789696,198.860641,
90,3,90-3,Leaf,,,,,-0.041337803,13.6081858,
90,4,90-4,non_billable_noshow,0.0997218192,90-5,90-6,90-6,19.7275963,185.252457,
90,5,90-5,billed_utilization,1.04988921,90-7,90-8,90-8,21.3211937,172.275558,
90,6,90-6,total_volume_pool,1.62951708,90-9,90-10,90-10,0.0174160004,12.9768915,
90,7,90-7,Leaf,,,,,-0.043144457,10.6235685,
90,8,90-8,revenue_per_kent_leg,70.0001984,90-11,90-12,90-12,24.0269051,161.651993,
90,9,90-9,Leaf,,,,,-0.0429479368,10.9437675,
90,10,90-10,Leaf,,,,,-0.0141314119,2.03312397,
90,11,90-11,Leaf,,,,,-0.0425592065,10.6211491,
90,12,90-12,Leaf,,,,,0.0167071819,151.030853,
91,0,91-0,road_hours_per_vehicle,9.00397682,91-1,91-2,91-2,19.8292828,213.213623,
91,1,91-1,Leaf,,,,,-0.0411862358,17.4701805,
91,2,91-2,vehicle_utilization,0.949723125,91-3,91-4,91-4,19.356308,195.743439,
91,3,91-3,Leaf,,,,,-0.0430612117,12.9880381,
91,4,91-4,contract_concentration,0.200034514,91-5,91-6,91-6,20.101799,182.755402,
91,5,91-5,non_billable_noshow,0.0997218192,91-7,91-8,91-8,22.0166245,170.766388,
91,6,91-6,Leaf,,,,,-0.0421792828,11.9890146,
91,7,91-7,cost_per_road_hour,49.9392853,91-9,91-10,91-10,24.5549316,159.111755,
91,8,91-8,Leaf,,,,,-0.041370973,11.6546307,
91,9,91-9,Leaf,,,,,0.0176112987,147.27327,
91,10,91-10,Leaf,,,,,-0.0397133715,11.8384886,
92,0,92-0,cost_per_road_hour,49.9392853,92-1,92-2,92-2,19.5314312,208.149429,
92,1,92-1,total_volume_pool,1.20034683,92-3,92-4,92-4,18.6417599,191.089386,
92,2,92-2,road_hours_per_vehicle,13.4006433,92-5,92-6,92-6,0.0604972839,17.0600433,
92,3,92-3,Leaf,,,,,-0.0434681065,12.1376791,
92,4,92-4,road_hours_per_vehicle,9.00397682,92-7,92-8,92-8,19.3366032,178.951706,
92,5,92-5,Leaf,,,,,-0.0433119871,14.9661865,
92,6,92-6,Leaf,,,,,-0.0142558767,2.09385586,
92,7,92-7,Leaf,,,,,-0.0406171158,12.2549171,
92,8,92-8,contract_concentration,0.200034514,92-9,92-10,92-10,21.5658836,166.696793,
92,9,92-9,revenue_per_kent_leg,70.0001984,92-11,92-12,92-12,24.6598701,155.556793,
92,10,92-10,Leaf,,,,,-0.0417621508,11.1399975,
92,11,92-11,Leaf,,,,,-0.0423818529,10.6814404,
92,12,92-12,Leaf,,,,,0.0176197719,144.875351,
93,0,93-0,high_acuity_share,0.0498093776,93-1,93-2,93-2,19.077549,205.151077,
93,1,93-1,Leaf,,,,,-0.0422832444,15.1235323,
93,2,93-2,vehicle_utilization,0.949723125,93-3,93-4,93-4,18.1200924,190.027542,
93,3,93-3,Leaf,,,,,-0.042546425,11.9490433,
93,4,93-4,revenue_per_kent_leg,70.0001984,93-5,93-6,93-6,19.3089943,178.078491,
93,5,93-5,Leaf,,,,,-0.041974254,11.2576513,
93,6,93-6,road_hours_per_vehicle,9.00397682,93-7,93-8,93-8,20.6899796,166.820847,
93,7,93-7,Leaf,,,,,-0.0400264524,11.269146,
93,8,93-8,cost_per_road_hour,49.9392853,93-9,93-10,93-10,23.4087048,155.551697,
93,9,93-9,Leaf,,,,,0.0180325676,143.982666,
93,10,93-10,Leaf,,,,,-0.0385411978,11.569026,
94,0,94-0,non_billable_noshow,0.0997218192,94-1,94-2,94-2,18.5682106,203.308884,
94,1,94-1,vehicle_utilization,0.949723125,94-3,94-4,94-4,17.9655647,186.673676,
94,2,94-2,Leaf,,,,,-0.0406837501,16.6352119,
94,3,94-3,Leaf,,,,,-0.0424390733,12.2964811,
94,4,94-4,road_hours_per_vehicle,9.00397682,94-5,94-6,94-6,17.6801682,174.377197,
94,5,94-5,Leaf,,,,,-0.0397801585,11.6327677,
94,6,94-6,total_volume_pool,1.20034683,94-7,94-8,94-8,19.7681389,162.744431,
94,7,94-7,Leaf,,,,,-0.0402713493,10.9183855,
94,8,94-8,contract_concentration,0.200034514,94-9,94-10,94-10,22.4936562,151.82605,
94,9,94-9,Leaf,,,,,0.0170751791,141.59726,
94,10,94-10,Leaf,,,,,-0.0413196571,10.2287874,
95,0,95-0,total_volume_pool,1.20034683,95-1,95-2,95-2,18.1045609,199.993561,
95,1,95-1,Leaf,,,,,-0.0424569696,14.7047119,
95,2,95-2,billed_utilization,1.04988921,95-3,95-4,95-4,17.339077,185.288849,
95,3,95-3,Leaf,,,,,-0.0431121513,11.5021334,
95,4,95-4,non_billable_noshow,0.0997218192,95-5,95-6,95-6,18.4816933,173.786713,
95,5,95-5,high_acuity_share,0.0498093776,95-7,95-8,95-8,20.7445908,161.072662,
95,6,95-6,non_billable_noshow,0.100725584,95-9,95-10,95-10,0.187213898,12.7140532,
95,7,95-7,Leaf,,,,,-0.0427403152,10.3258514,
95,8,95-8,contract_concentration,0.200034514,95-11,95-12,95-12,22.6233368,150.746811,
95,9,95-9,Leaf,,,,,-0.0138636874,2.43443871,
95,10,95-10,Leaf,,,,,-0.0424970947,10.2796144,
95,11,95-11,Leaf,,,,,0.0172580611,140.425018,
95,12,95-12,Leaf,,,,,-0.0411053784,10.3218031,
96,0,96-0,vehicle_utilization,0.949723125,96-1,96-2,96-2,17.4252968,198.767014,
96,1,96-1,Leaf,,,,,-0.041946914,14.8530817,
96,2,96-2,high_acuity_share,0.0498093776,96-3,96-4,96-4,15.9508886,183.913925,
96,3,96-3,Leaf,,,,,-0.0421049483,11.3160877,
96,4,96-4,cost_per_road_hour,50.3312798,96-5,96-6,96-6,16.9459267,172.597839,
96,5,96-5,road_hours_per_vehicle,9.00397682,96-7,96-8,96-8,18.9930115,162.023819,
96,6,96-6,Leaf,,,,,-0.0417040773,10.5740175,
96,7,96-7,Leaf,,,,,-0.0395936742,11.2372904,
96,8,96-8,non_billable_noshow,0.100725584,96-9,96-10,96-10,20.3168488,150.78653,
96,9,96-9,Leaf,,,,,0.0157138892,141.513641,
96,10,96-10,Leaf,,,,,-0.0420713574,9.272892,
97,0,97-0,billed_utilization,1.04988921,97-1,97-2,97-2,16.9119377,196.63591,
97,1,97-1,Leaf,,,,,-0.0423171334,13.7622662,
97,2,97-2,vehicle_utilization,0.949723125,97-3,97-4,97-4,16.5545349,182.873642,
97,3,97-3,Leaf,,,,,-0.0418469571,11.6700563,
97,4,97-4,revenue_per_kent_leg,70.0001984,97-5,97-6,97-6,17.2844658,171.203583,
97,5,97-5,Leaf,,,,,-0.0418203995,10.4829721,
97,6,97-6,total_volume_pool,1.20034683,97-7,97-8,97-8,18.999485,160.720612,
97,7,97-7,Leaf,,,,,-0.0398396477,10.8505383,
97,8,97-8,road_hours_per_vehicle,9.00397682,97-9,97-10,97-10,21.5504971,149.870071,
97,9,97-9,Leaf,,,,,-0.0391673669,10.8204136,
97,10,97-10,Leaf,,,,,0.0167069975,139.049667,
98,0,98-0,high_acuity_share,0.050309673,98-1,98-2,98-2,16.887064,190.790527,
98,1,98-1,Leaf,,,,,-0.0417276658,14.7207823,
98,2,98-2,high_acuity_share,0.20025,98-3,98-4,98-4,17.2762737,176.069748,
98,3,98-3,contract_concentration,0.19681786,98-5,98-6,98-6,2.79271317,35.7139435,
98,4,98-4,high_acuity_share,0.201136589,98-7,98-8,98-8,14.8854408,140.355804,
98,5,98-5,total_volume_pool,1.24140453,98-9,98-10,98-10,2.06305695,33.605835,
98,6,98-6,Leaf,,,,,-0.0123298066,2.10810757,
98,7,98-7,billed_utilization,1.05165946,98-11,98-12,98-12,5.78777122,104.015396,
98,8,98-8,billed_utilization,1.04988921,98-13,98-14,98-14,4.52367878,36.3404083,
98,9,98-9,Leaf,,,,,-0.004189556,2.37300539,
98,10,98-10,cost_per_road_hour,48.6659927,98-15,98-16,98-16,1.46848488,31.23283,
98,11,98-11,Leaf,,,,,-0.043340154,8.02795219,
98,12,98-12,billed_utilization,1.10394287,98-17,98-18,98-18,7.54470634,95.987442,
98,13,98-13,Leaf,,,,,-0.02902692,2.12657261,
98,14,98-14,road_hours_per_vehicle,9.16663456,98-19,98-20,98-20,3.49294949,34.2138367,
98,15,98-15,Leaf,,,,,0.0337393507,28.5241127,
98,16,98-16,Leaf,,,,,0.000954390795,2.70871687,
98,17,98-17,Leaf,,,,,0.0342550874,4.71794891,
98,18,98-18,Leaf,,,,,-0.0123981042,91.2694931,
98,19,98-19,Leaf,,,,,-0.01952051,2.2569592,
98,20,98-20,Leaf,,,,,0.0239409804,31.9568748,
99,0,99-0,contract_concentration,0.200034514,99-1,99-2,99-2,15.8951235,188.709305,
99,1,99-1,billed_utilization,1.05165946,99-3,99-4,99-4,15.3983994,174.758041,
99,2,99-2,Leaf,,,,,-0.040939793,13.9512644,
99,3,99-3,Leaf,,,,,-0.0409944057,11.3202734,
99,4,99-4,vehicle_utilization,0.95466727,99-5,99-6,99-6,17.0118885,163.437775,
99,5,99-5,Leaf,,,,,-0.040734034,10.8627214,
99,6,99-6,non_billable_noshow,0.0997218192,99-7,99-8,99-8,19.1782742,152.575058,
99,7,99-7,cost_per_road_hour,49.9392853,99-9,99-10,99-10,22.2447014,140.870972,
99,8,99-8,non_billable_noshow,0.100725584,99-11,99-12,99-12,0.0941934586,11.7040834,
99,9,99-9,Leaf,,,,,0.017525997,129.862717,
99,10,99-10,Leaf,,,,,-0.0390006304,11.0082464,
99,11,99-11,Leaf,,,,,-0.0142549919,2.42815876,
99,12,99-12,Leaf,,,,,-0.0416840911,9.27592468,
100,0,100-0,billed_utilization,1.05165946,100-1,100-2,100-2,15.4167519,188.073227,
100,1,100-1,Leaf,,,,,-0.0408706404,13.5829763,
100,2,100-2,billed_utilization,1.25524998,100-3,100-4,100-4,15.5329857,174.49025,
100,3,100-3,vehicle_utilization,0.958714366,100-5,100-6,100-6,3.78500843,38.3533707,
100,4,100-4,billed_utilization,1.25740719,100-7,100-8,100-8,15.0385122,136.136887,
100,5,100-5,Leaf,,,,,-0.0174072254,2.41713667,
100,6,100-6,contract_concentration,0.196255729,100-9,100-10,100-10,2.62406731,35.9362335,
100,7,100-7,cost_per_road_hour,49.9392853,100-11,100-12,100-12,5.19299412,104.466454,
100,8,100-8,vehicle_utilization,0.969109654,100-13,100-14,100-14,3.42450333,31.6704273,
100,9,100-9,high_acuity_share,0.0626142398,100-15,100-16,100-16,1.04973602,33.7300224,
100,10,100-10,Leaf,,,,,-0.00963534415,2.20621181,
100,11,100-11,cost_per_road_hour,44.6490936,100-17,100-18,100-18,8.08386993,95.857254,
100,12,100-12,Leaf,,,,,-0.0400376655,8.60920048,
100,13,100-13,Leaf,,,,,-0.0185062923,2.55661154,
100,14,100-14,high_acuity_share,0.0594743975,100-19,100-20,100-20,3.13989639,29.1138153,
100,15,100-15,Leaf,,,,,0.000902805827,2.23407364,
100,16,100-16,Leaf,,,,,0.0316847153,31.4959488,
100,17,100-17,Leaf,,,,,-0.0119762467,90.6481476,
100,18,100-18,Leaf,,,,,0.034532588,5.20910692,
100,19,100-19,Leaf,,,,,-0.0130906031,2.64279628,
100,20,100-20,Leaf,,,,,0.0271183103,26.4710197,
101,0,101-0,high_acuity_share,0.050309673,101-1,101-2,101-2,16.1403065,184.610474,
101,1,101-1,Leaf,,,,,-0.0412810445,13.9074583,
101,2,101-2,revenue_per_kent_leg,70.0001984,101-3,101-4,101-4,15.4858036,170.703018,
101,3,101-3,Leaf,,,,,-0.041613359,10.9904385,
101,4,101-4,billed_utilization,1.04988921,101-5,101-6,101-6,16.1969185,159.712585,
101,5,101-5,Leaf,,,,,-0.0416278318,9.84498787,
101,6,101-6,vehicle_utilization,0.949723125,101-7,101-8,101-8,17.5525341,149.867599,
101,7,101-7,Leaf,,,,,-0.0407694615,9.5588932,
101,8,101-8,total_volume_pool,1.20034683,101-9,101-10,101-10,19.8131638,140.308701,
101,9,101-9,Leaf,,,,,-0.0390141793,9.98045063,
101,10,101-10,Leaf,,,,,0.0165223125,130.328247,
102,0,102-0,contract_concentration,0.200034514,102-1,102-2,102-2,15.2422419,181.477509,
102,1,102-1,high_acuity_share,0.0498093776,102-3,102-4,102-4,14.7743568,168.275543,
102,2,102-2,Leaf,,,,,-0.0406438001,13.2019701,
102,3,102-3,Leaf,,,,,-0.0412750244,10.4372425,
102,4,102-4,cost_per_road_hour,50.3312798,102-5,102-6,102-6,16.1069145,157.838303,
102,5,102-5,vehicle_utilization,0.95466727,102-7,102-8,102-8,16.8204269,147.915207,
102,6,102-6,Leaf,,,,,-0.0410382599,9.92309284,
102,7,102-7,Leaf,,,,,-0.0389486961,9.75037575,
102,8,102-8,total_volume_pool,1.19552481,102-9,102-10,102-10,19.1480522,138.164825,
102,9,102-9,Leaf,,,,,-0.0414151996,8.63723564,
102,10,102-10,Leaf,,,,,0.0165360514,129.527588,
103,0,103-0,road_hours_per_vehicle,8.96322536,103-1,103-2,103-2,14.6300926,180.261734,
103,1,103-1,Leaf,,,,,-0.0411941931,12.2972689,
103,2,103-2,cost_per_road_hour,50.3312798,103-3,103-4,103-4,14.0119438,167.964462,
103,3,103-3,contract_concentration,0.200034514,103-5,103-6,103-6,15.2455187,157.705399,
103,4,103-4,Leaf,,,,,-0.040625371,10.2590609,
103,5,103-5,high_acuity_share,0.0498093776,103-7,103-8,103-8,16.7140121,147.878357,
103,6,103-6,Leaf,,,,,-0.0402275212,9.82703781,
103,7,103-7,Leaf,,,,,-0.0407835618,9.07954884,
103,8,103-8,billed_utilization,1.04988921,103-9,103-10,103-10,17.9711323,138.798813,
103,9,103-9,Leaf,,,,,-0.0408848897,8.40564919,
103,10,103-10,Leaf,,,,,0.0158655178,130.393158,
104,0,104-0,revenue_per_kent_leg,70.0001984,104-1,104-2,104-2,14.7517796,179.807129,
104,1,104-1,Leaf,,,,,-0.0412616879,12.6518545,
104,2,104-2,non_billable_noshow,0.0997218192,104-3,104-4,104-4,14.4513779,167.155273,
104,3,104-3,total_volume_pool,1.19552481,104-5,104-6,104-6,15.1965027,155.477982,
104,4,104-4,Leaf,,,,,-0.039039772,11.6772871,
104,5,104-5,Leaf,,,,,-0.0414523929,9.30535126,
104,6,104-6,road_hours_per_vehicle,9.00397682,104-7,104-8,104-8,16.3492718,146.172638,
104,7,104-7,Leaf,,,,,-0.0383266769,9.94117165,
104,8,104-8,high_acuity_share,0.050309673,104-9,104-10,104-10,18.7030506,136.231461,
104,9,104-9,Leaf,,,,,-0.0394340977,9.28536034,
104,10,104-10,Leaf,,,,,0.0162029676,126.946098,
105,0,105-0,cost_per_road_hour,49.9392853,105-1,105-2,105-2,14.2174244,177.129547,
105,1,105-1,revenue_per_kent_leg,70.0001984,105-3,105-4,105-4,14.0625448,163.416016,
105,2,105-2,Leaf,,,,,-0.039195545,13.7135344,
105,3,105-3,Leaf,,,,,-0.0409704484,10.3492317,
105,4,105-4,road_hours_per_vehicle,8.96322536,105-5,105-6,105-6,14.749403,153.066772,
105,5,105-5,Leaf,,,,,-0.0408216193,9.37648869,
105,6,105-6,billed_utilization,1.05165946,105-7,105-8,105-8,16.4739895,143.690292,
105,7,105-7,Leaf,,,,,-0.0397255905,9.50383472,
105,8,105-8,contract_concentration,0.200034514,105-9,105-10,105-10,18.8600864,134.186447,
105,9,105-9,Leaf,,,,,0.0160406325,124.954285,
105,10,105-10,Leaf,,,,,-0.0399892218,9.23217106,
106,0,106-0,vehicle_utilization,0.949723125,106-1,106-2,106-2,13.8511086,174.499847,
106,1,106-1,Leaf,,,,,-0.040659871,12.2568855,
106,2,106-2,non_billable_noshow,0.100725584,106-3,106-4,106-4,13.8019743,162.242966,
106,3,106-3,high_acuity_share,0.0498093776,106-5,106-6,106-6,14.5359926,152.289246,
106,4,106-4,Leaf,,,,,-0.0413901806,9.95371532,
106,5,106-5,Leaf,,,,,-0.0405741781,9.37785149,
106,6,106-6,total_volume_pool,1.19552481,106-7,106-8,106-8,16.2327995,142.911392,
106,7,106-7,Leaf,,,,,-0.0412069485,8.81016159,
106,8,106-8,billed_utilization,1.05165946,106-9,106-10,106-10,17.8919258,134.101242,
106,9,106-9,Leaf,,,,,-0.0401786603,8.75284004,
106,10,106-10,Leaf,,,,,0.0155872582,125.348396,
107,0,107-0,revenue_per_kent_leg,70.0001984,107-1,107-2,107-2,13.9096918,173.149872,
107,1,107-1,Leaf,,,,,-0.0407725275,11.8877459,
107,2,107-2,contract_concentration,0.200034514,107-3,107-4,107-4,13.5050449,161.262131,
107,3,107-3,vehicle_utilization,0.949723125,107-5,107-6,107-6,14.7366714,151.095825,
107,4,107-4,Leaf,,,,,-0.0399534404,10.1663027,
107,5,107-5,Leaf,,,,,-0.0402576327,9.40909004,
107,6,107-6,non_billable_noshow,0.0997218192,107-7,107-8,107-8,15.7142525,141.686737,
107,7,107-7,billed_utilization,1.05165946,107-9,107-10,107-10,17.3874035,130.726547,
107,8,107-8,non_billable_noshow,0.100725584,107-11,107-12,107-12,0.730430603,10.9601936,
107,9,107-9,Leaf,,,,,-0.0384133682,8.76781368,
107,10,107-10,Leaf,,,,,0.0165993012,121.958725,
107,11,107-11,Leaf,,,,,-0.00900695845,2.66334128,
107,12,107-12,Leaf,,,,,-0.0406992808,8.29685211,
